day,class_label,user_is_candidate,is_reply,is_post,DS_GENERO,DS_COR_RACA,DS_CARGO,DS_GRAU_INSTRUCAO,DS_ESTADO_CIVIL,id
2022-09-01,False,False,1,0,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),47
2022-09-01,False,False,1,0,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),5
2022-09-01,False,False,1,0,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),181
2022-09-01,False,False,1,0,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,SOLTEIRO(A),20
2022-09-01,False,False,1,0,FEMININO,PRETA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),1
2022-09-01,False,False,1,0,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),1
2022-09-01,False,False,1,0,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,DIVORCIADO(A),14
2022-09-01,False,False,1,0,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),26
2022-09-01,False,False,1,0,MASCULINO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR INCOMPLETO,DIVORCIADO(A),84
2022-09-01,False,False,1,0,MASCULINO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),204
2022-09-01,False,True,0,1,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),12
2022-09-01,False,True,0,1,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,DIVORCIADO(A),2
2022-09-01,False,True,0,1,FEMININO,BRANCA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),2
2022-09-01,False,True,0,1,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),13
2022-09-01,False,True,0,1,FEMININO,BRANCA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,SOLTEIRO(A),5
2022-09-01,False,True,0,1,FEMININO,INDÍGENA,DEPUTADO FEDERAL,SUPERIOR COMPLETO,CASADO(A),11
2022-09-01,False,True,0,1,FEMININO,PRETA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,CASADO(A),1
2022-09-01,False,True,0,1,FEMININO,PRETA,DEPUTADO ESTADUAL,SUPERIOR COMPLETO,SOLTEIRO(A),2
